post_id,post_type,item_name,category,color,brand,description,location,date,contact_method,true_match_id,match_group
F102,found,keys,keys,gold,,There is a gold keys at Bakke Recreation Center. I can meet or leave it at the desk.,Bakke Recreation Center,2026-03-25,email,,U_F102
F103,found,cap,clothing,red,Nike,Found red cap outside Bakke Recreation Center; turned into front desk pickup.,Bakke Recreation Center,2026-06-06,library circulation desk,,U_F103
F104,found,water bottle,bottle,silver,ThermoFlask,Someone left a water bottle at Kohl Center. Looks silver. a keychain attached.,Kohl Center,2026-04-07,email,,U_F104
F105,found,laptop sleeve,bags,dark,,Picked up a dark laptop sleeve around Dejope Residence Hall. Message with details to confirm.,Dejope Residence Hall,2026-05-30,library circulation desk,,U_F105
F106,found,book,books_notes,blue,,Someone left a book at Computer Sciences Building. Looks blue. a sticker on it.,Computer Sciences Building,2026-05-10,front desk pickup,,U_F106
F107,found,charger,electronics,white,Apple,Picked up a white charger around Wisconsin Union Theater. Message with details to confirm.,Wisconsin Union Theater,2026-03-14,department office,,U_F107
F108,found,umbrella,umbrellas,dark,Totes,There is a dark umbrella at Union South. I can meet or leave it at the desk.,Union South,2026-05-01,security desk,,U_F108
F109,found,ring,jewelry_accessories,silver,,Picked up a silver ring around SERF. Message with details to confirm.,SERF,2026-05-01,campus app message,,U_F109
F110,found,ID card,wallets_cards,red,Wiscard,Found red ID card outside College Library; turned into security desk.,College Library,2026-05-13,residence hall desk,,U_F110
F111,found,backpack,bags,grey,Adidas,Found a grey backpack near Memorial Library. Left it with email.,Memorial Library,2026-06-12,library circulation desk,,U_F111
F112,found,notebook,books_notes,dark,,Found a dark notebook near Nicholas Recreation Center. Left it with email.,Nicholas Recreation Center,2026-05-11,department office,,U_F112
F113,found,headphones,electronics,white,Sony,There is a white headphones at Witte Residence Hall. I can meet or leave it at the desk.,Witte Residence Hall,2026-03-29,department office,,U_F113
F114,found,scarf,clothing,grey,,Found grey scarf outside Chazen Museum; turned into security desk.,Chazen Museum,2026-04-08,department office,,U_F114
F115,found,pouch,miscellaneous,purple,,Found purple pouch outside Camp Randall; turned into front desk pickup.,Camp Randall,2026-05-19,campus app message,,U_F115
F116,found,glasses case,miscellaneous,dark,,Found a dark glasses case near Kohl Center. Left it with department office.,Kohl Center,2026-05-20,email,,U_F116
F117,found,bottle,bottle,transparent,Owala,Found a transparent bottle near Business School. Left it with email.,Business School,2026-03-23,library circulation desk,,U_F117
F118,found,calculator,electronics,dark,Casio,Picked up a dark calculator around College Library. Message with details to confirm.,College Library,2026-04-27,residence hall desk,,U_F118
F119,found,sweatshirt,clothing,green,,Found green sweatshirt outside Kohl Center; turned into front desk pickup.,Kohl Center,2026-03-30,front desk pickup,,U_F119
F120,found,lunch bag,miscellaneous,blue,,Someone left a lunch bag at Wisconsin Union Theater. Looks blue. a small dent.,Wisconsin Union Theater,2026-03-10,residence hall desk,,U_F120
